dataset,model,randomseed,train_r2,test_r2
1028_SWD,LinearRegression(),0,0.4124707241192022,0.3299351175571001
1028_SWD,"Lasso(alpha=0.01, max_iter=100000)",0,0.4095665479718288,0.3492171240001593
1028_SWD,"Lasso(alpha=0.05, max_iter=100000)",0,0.3870775254662224,0.3504717159355596
1028_SWD,"Lasso(alpha=0.1, max_iter=100000)",0,0.3407280223658097,0.312471604057413
1028_SWD,DecisionTreeRegressor(max_depth=1),0,0.2290539799336748,0.2144682804492825
1028_SWD,DecisionTreeRegressor(max_depth=2),0,0.3747836560225213,0.1684861239152462
1028_SWD,DecisionTreeRegressor(max_depth=4),0,0.5726187215930438,0.1124026582393812
1028_SWD,DecisionTreeRegressor(max_depth=6),0,0.7342960518975439,0.0080188409670428
1028_SWD,RandomForestRegressor(n_estimators=400),0,0.7351979399252316,0.2717066254300707
1028_SWD,RandomForestRegressor(n_estimators=200),0,0.7389073507952078,0.2638562318617946
1028_SWD,RandomForestRegressor(),0,0.7361917909302582,0.27272209112115
1028_SWD,RandomForestRegressor(n_estimators=50),0,0.7350999100148514,0.277608855210087
1028_SWD,GradientBoostingRegressor(n_estimators=400),0,0.7774130365374718,0.082576946170585
1028_SWD,GradientBoostingRegressor(n_estimators=200),0,0.7730881095231525,0.1302312784645423
1028_SWD,GradientBoostingRegressor(),0,0.749061541907984,0.2070493075248174
1028_SWD,GradientBoostingRegressor(n_estimators=50),0,0.705531373097023,0.2701441210728422
1029_LEV,LinearRegression(),0,0.690260587056478,0.5368588056126085
1029_LEV,"Lasso(alpha=0.01, max_iter=100000)",0,0.690042117470854,0.5384919989175556
1029_LEV,"Lasso(alpha=0.05, max_iter=100000)",0,0.6847993260388259,0.5402010535448507
1029_LEV,"Lasso(alpha=0.1, max_iter=100000)",0,0.6684157822873413,0.5314858861185989
1029_LEV,DecisionTreeRegressor(max_depth=1),0,0.416656492656886,0.2093706889231743
1029_LEV,DecisionTreeRegressor(max_depth=2),0,0.5337471420254455,0.2485708675518312
1029_LEV,DecisionTreeRegressor(max_depth=4),0,0.7663168007775224,0.3881771527353923
1029_LEV,DecisionTreeRegressor(max_depth=6),0,0.8730049487103857,0.3076499445158596
1029_LEV,RandomForestRegressor(n_estimators=400),0,0.8646326835362896,0.4202303496278335
1029_LEV,RandomForestRegressor(n_estimators=200),0,0.8631092607257167,0.427722200943598
1029_LEV,RandomForestRegressor(),0,0.8618624919866751,0.4343130375930774
1029_LEV,RandomForestRegressor(n_estimators=50),0,0.8603791571664224,0.4300834378068361
1029_LEV,GradientBoostingRegressor(n_estimators=400),0,0.8806586447753761,0.3773396285842586
1029_LEV,GradientBoostingRegressor(n_estimators=200),0,0.8706102945159595,0.3970170560451406
1029_LEV,GradientBoostingRegressor(),0,0.8565966670423897,0.421530900758011
1029_LEV,GradientBoostingRegressor(n_estimators=50),0,0.8358892641429877,0.4612580977890806
1030_ERA,LinearRegression(),0,0.2681477709909163,0.376191368414694
1030_ERA,"Lasso(alpha=0.01, max_iter=100000)",0,0.2681378045037268,0.375667814284507
1030_ERA,"Lasso(alpha=0.05, max_iter=100000)",0,0.267898522227784,0.373348369805819
1030_ERA,"Lasso(alpha=0.1, max_iter=100000)",0,0.2671507325358854,0.3699419331552978
1030_ERA,DecisionTreeRegressor(max_depth=1),0,0.1604494078912526,0.0872496162708688
1030_ERA,DecisionTreeRegressor(max_depth=2),0,0.2678952292895322,0.0847016000530374
1030_ERA,DecisionTreeRegressor(max_depth=4),0,0.3918614354719831,0.2030253729820464
1030_ERA,DecisionTreeRegressor(max_depth=6),0,0.4737689646094818,0.1351695139373891
1030_ERA,RandomForestRegressor(n_estimators=400),0,0.5221936791094006,0.1836089984808433
1030_ERA,RandomForestRegressor(n_estimators=200),0,0.5218474823398005,0.183572639130454
1030_ERA,RandomForestRegressor(),0,0.5196844635406519,0.1898213736474532
1030_ERA,RandomForestRegressor(n_estimators=50),0,0.512312902570171,0.1923417203134833
1030_ERA,GradientBoostingRegressor(n_estimators=400),0,0.5459069615741945,0.0562563695408717
1030_ERA,GradientBoostingRegressor(n_estimators=200),0,0.5457886787400141,0.0619649802483488
1030_ERA,GradientBoostingRegressor(),0,0.5432807929814976,0.0967895050657852
1030_ERA,GradientBoostingRegressor(n_estimators=50),0,0.5254322100806061,0.1707928905403044
1191_BNG_pbc,LinearRegression(),0,0.4637812891756023,0.1262971735604877
1191_BNG_pbc,"Lasso(alpha=0.01, max_iter=100000)",0,0.4637812780619196,0.1263346629482721
1191_BNG_pbc,"Lasso(alpha=0.05, max_iter=100000)",0,0.4637810113493609,0.1264842167421128
1191_BNG_pbc,"Lasso(alpha=0.1, max_iter=100000)",0,0.4637801778642196,0.1266702460411176
1191_BNG_pbc,DecisionTreeRegressor(max_depth=1),0,0.189480092480476,0.057849575560263
1191_BNG_pbc,DecisionTreeRegressor(max_depth=2),0,0.3626617568428993,-0.0486191000656943
1191_BNG_pbc,DecisionTreeRegressor(max_depth=4),0,0.789541311618409,-0.2885974974025336
1191_BNG_pbc,DecisionTreeRegressor(max_depth=6),0,0.9508414039373084,-0.3463627890733785
1191_BNG_pbc,RandomForestRegressor(n_estimators=400),0,0.9009461746633904,0.2251543389052716
1191_BNG_pbc,RandomForestRegressor(n_estimators=200),0,0.8989152496998951,0.2210450147457892
1191_BNG_pbc,RandomForestRegressor(),0,0.8945099249025484,0.219109169364795
1191_BNG_pbc,RandomForestRegressor(n_estimators=50),0,0.8907361742557537,0.2204931321693833
