dataset,model,randomseed,train_r2,test_r2,json
1028_SWD,LinearRegression(),0,0.3838486994696511,0.3643909221151291,
1028_SWD,"Lasso(alpha=0.05, max_iter=100000)",0,0.3570192170114061,0.3478245911435292,
1028_SWD,RandomForestRegressor(n_estimators=200),0,0.6571913892621477,0.2825653036941506,
1028_SWD,GradientBoostingRegressor(n_estimators=200),0,0.6462813845973155,0.2874049622137657,
1028_SWD,LinearRegression(),1,0.4039592545832556,0.3909857718072532,
1028_SWD,"Lasso(alpha=0.05, max_iter=100000)",1,0.3712689680635905,0.3317542509955079,
1028_SWD,RandomForestRegressor(n_estimators=200),1,0.6421820166122703,0.3072510237973851,
1028_SWD,GradientBoostingRegressor(n_estimators=200),1,0.6360808059928655,0.2846657088989737,
1028_SWD,LinearRegression(),2,0.4950374911664683,0.3490441815677894,
1028_SWD,"Lasso(alpha=0.05, max_iter=100000)",2,0.4644188115360818,0.3487402238594734,
1028_SWD,RandomForestRegressor(n_estimators=200),2,0.6885199511771174,0.2455829006435552,
1028_SWD,GradientBoostingRegressor(n_estimators=200),2,0.6896492447523875,0.2047010265325547,
1028_SWD,LinearRegression(),3,0.4771053654083618,0.3392083475020914,
1028_SWD,"Lasso(alpha=0.05, max_iter=100000)",3,0.4437493613124759,0.3476588931298376,
1028_SWD,RandomForestRegressor(n_estimators=200),3,0.6825585934880436,0.2548013989646959,
1028_SWD,GradientBoostingRegressor(n_estimators=200),3,0.6786704971850217,0.2549298675770867,
1028_SWD,LinearRegression(),4,0.3859334203927864,0.3934313619279896,
1028_SWD,"Lasso(alpha=0.05, max_iter=100000)",4,0.3519816777484317,0.3396545477631437,
1028_SWD,RandomForestRegressor(n_estimators=200),4,0.6362901460660195,0.2683581747203722,
1028_SWD,GradientBoostingRegressor(n_estimators=200),4,0.6361739762959726,0.2318032706276942,
1029_LEV,LinearRegression(),0,0.6298355218254532,0.5335576803885904,
1029_LEV,"Lasso(alpha=0.05, max_iter=100000)",0,0.6233914430668701,0.5378093349340977,
1029_LEV,RandomForestRegressor(n_estimators=200),0,0.7568964688670508,0.4413339881141048,
1029_LEV,GradientBoostingRegressor(n_estimators=200),0,0.7503649572006864,0.4504745336577183,
1029_LEV,LinearRegression(),1,0.58842578695505,0.5487830467960588,
1029_LEV,"Lasso(alpha=0.05, max_iter=100000)",1,0.5813483222602526,0.541880765332877,
1029_LEV,RandomForestRegressor(n_estimators=200),1,0.7639433087423737,0.3924852795928546,
1029_LEV,GradientBoostingRegressor(n_estimators=200),1,0.7452589825773313,0.4218095311322941,
1029_LEV,LinearRegression(),2,0.5646984417326145,0.5484199983580946,
1029_LEV,"Lasso(alpha=0.05, max_iter=100000)",2,0.5565129820926324,0.5286295184770182,
1029_LEV,RandomForestRegressor(n_estimators=200),2,0.7271814251785084,0.4119282587939959,
1029_LEV,GradientBoostingRegressor(n_estimators=200),2,0.7182263093226436,0.417357572266123,
1029_LEV,LinearRegression(),3,0.5970813877445442,0.5471577653135008,
1029_LEV,"Lasso(alpha=0.05, max_iter=100000)",3,0.5911102148970125,0.5384928850822913,
1029_LEV,RandomForestRegressor(n_estimators=200),3,0.7321017371589377,0.4305508760311851,
1029_LEV,GradientBoostingRegressor(n_estimators=200),3,0.7211496672758,0.4486822992872067,
1029_LEV,LinearRegression(),4,0.5210152816998759,0.5826618709374444,
1029_LEV,"Lasso(alpha=0.05, max_iter=100000)",4,0.5143842475422431,0.5727293553908902,
1029_LEV,RandomForestRegressor(n_estimators=200),4,0.6922143764932411,0.4599205035387941,
1029_LEV,GradientBoostingRegressor(n_estimators=200),4,0.671209203171693,0.4813012958064587,
1030_ERA,LinearRegression(),0,0.3259186071740966,0.3876094927635219,
1030_ERA,"Lasso(alpha=0.05, max_iter=100000)",0,0.3257119362393106,0.386435183130054,
1030_ERA,RandomForestRegressor(n_estimators=200),0,0.4324017844391529,0.3132193621197955,
1030_ERA,GradientBoostingRegressor(n_estimators=200),0,0.4333240151431922,0.3054664760220581,
1030_ERA,LinearRegression(),1,0.3827486853271088,0.3711778244035445,
1030_ERA,"Lasso(alpha=0.05, max_iter=100000)",1,0.3826057135919354,0.3702620263532428,
1030_ERA,RandomForestRegressor(n_estimators=200),1,0.485956883094657,0.2635854624343781,
1030_ERA,GradientBoostingRegressor(n_estimators=200),1,0.4882214369796973,0.2374009506711669,
1030_ERA,LinearRegression(),2,0.3607084962220919,0.3641553734063528,
1030_ERA,"Lasso(alpha=0.05, max_iter=100000)",2,0.3605092048105541,0.36122478517556,
1030_ERA,RandomForestRegressor(n_estimators=200),2,0.4749651119547455,0.3173292895854666,
1030_ERA,GradientBoostingRegressor(n_estimators=200),2,0.4761001837978779,0.3160641351113993,
1030_ERA,LinearRegression(),3,0.3603791604035935,0.3539535225154809,
1030_ERA,"Lasso(alpha=0.05, max_iter=100000)",3,0.36021952161693,0.3535831432105191,
1030_ERA,RandomForestRegressor(n_estimators=200),3,0.4383997891254982,0.2550269026001265,
1030_ERA,GradientBoostingRegressor(n_estimators=200),3,0.4390540838509322,0.2526231143773839,
1030_ERA,LinearRegression(),4,0.3681290997611443,0.3617732055693123,
1030_ERA,"Lasso(alpha=0.05, max_iter=100000)",4,0.3679387931960119,0.3643021823412761,
1030_ERA,RandomForestRegressor(n_estimators=200),4,0.482242917284522,0.2481302355691284,
1030_ERA,GradientBoostingRegressor(n_estimators=200),4,0.4825457673657004,0.2483511196275534,
1191_BNG_pbc,LinearRegression(),0,0.4338719012302284,0.2483678023021409,
1191_BNG_pbc,"Lasso(alpha=0.05, max_iter=100000)",0,0.4338717698739892,0.2484669635053789,
1191_BNG_pbc,RandomForestRegressor(n_estimators=200),0,0.90453894199303,0.2884088970291018,
1191_BNG_pbc,GradientBoostingRegressor(n_estimators=200),0,0.978530752990443,0.2183333210782061,
1191_BNG_pbc,LinearRegression(),1,0.3609436111844152,0.2716743546029553,
1191_BNG_pbc,"Lasso(alpha=0.05, max_iter=100000)",1,0.3609434457451923,0.271743908772649,
1191_BNG_pbc,RandomForestRegressor(n_estimators=200),1,0.8852929114310865,0.2749243000710906,
1191_BNG_pbc,GradientBoostingRegressor(n_estimators=200),1,0.9702073488523556,0.1592436337489504,
1191_BNG_pbc,LinearRegression(),2,0.3831091174868666,0.2661446070044816,
1191_BNG_pbc,"Lasso(alpha=0.05, max_iter=100000)",2,0.3831090054126047,0.266243350523632,
