dataset,model,train_r2,test_r2
1193_BNG_lowbwt,LinearRegression(),0.6014266549726605,0.5574032377108616
1193_BNG_lowbwt,"Lasso(alpha=0.01, max_iter=10000)",0.6014266491289693,0.5574078890437709
1193_BNG_lowbwt,"Lasso(alpha=0.05, max_iter=10000)",0.6014265088874012,0.5574263718707975
1193_BNG_lowbwt,DecisionTreeRegressor(max_depth=2),0.57519994239482,0.5475219577552508
1193_BNG_lowbwt,DecisionTreeRegressor(max_depth=6),0.7710695742451885,0.377299146007496
1196_BNG_pharynx,LinearRegression(),0.5242403585098148,0.4066684759065073
1196_BNG_pharynx,"Lasso(alpha=0.01, max_iter=10000)",0.5242403463061902,0.4066876818745
1196_BNG_pharynx,"Lasso(alpha=0.05, max_iter=10000)",0.5242400550407824,0.4067646635584339
1196_BNG_pharynx,DecisionTreeRegressor(max_depth=2),0.5300891652584453,0.3727147025406788
1196_BNG_pharynx,DecisionTreeRegressor(max_depth=6),0.8404542762668641,0.0498353666746671
1199_BNG_echoMonths,LinearRegression(),0.4514098006248209,0.4120456672128338
1199_BNG_echoMonths,"Lasso(alpha=0.01, max_iter=10000)",0.451365624232926,0.4127977834763453
1199_BNG_echoMonths,"Lasso(alpha=0.05, max_iter=10000)",0.4511310594344879,0.4148305137618772
1199_BNG_echoMonths,DecisionTreeRegressor(max_depth=2),0.4475449608807038,0.3570958369789456
1199_BNG_echoMonths,DecisionTreeRegressor(max_depth=6),0.7391078859069826,0.1001939236941337
1201_BNG_breastTumor,LinearRegression(),0.0637154309026452,0.0136612784647547
1201_BNG_breastTumor,"Lasso(alpha=0.01, max_iter=10000)",0.0636914218197655,0.0146837863489042
1201_BNG_breastTumor,"Lasso(alpha=0.05, max_iter=10000)",0.0631326363996792,0.0182270208512561
1201_BNG_breastTumor,DecisionTreeRegressor(max_depth=2),0.1112159147791618,-0.0063188881605964
1201_BNG_breastTumor,DecisionTreeRegressor(max_depth=6),0.4738445388737848,-0.4440825396479055
1203_BNG_pwLinear,LinearRegression(),0.5572891040705883,0.5111876234896651
1203_BNG_pwLinear,"Lasso(alpha=0.01, max_iter=10000)",0.5571904236347247,0.5105542142301005
